BRA.7.1_1,3015268,3
BRA.9.2_1,20042,0
BRA.9.5_1,5735,0
BRA.9.7_1,212440,0
BRA.9.8_1,27653,0
BRA.9.12_1,7624,0
BRA.9.13_1,8660,0
BRA.9.33_1,11167,0
BRA.9.43_1,7993,0
BRA.9.61_1,9709,0
BRA.9.65_1,71376,0
BRA.9.66_1,20240,0
BRA.9.69_1,11110,0
BRA.9.71_1,58997,0
BRA.9.87_1,16557,0
BRA.9.88_1,121617,0
BRA.9.92_1,70084,0
BRA.9.131_1,208299,0
BRA.9.139_1,2597,0
BRA.9.155_1,46388,0
BRA.9.164_1,115711,0
BRA.9.169_1,33835,0
BRA.9.181_1,24908,0
BRA.9.183_1,89918,0
BRA.9.209_1,74744,0
BRA.9.212_1,13740,0
BRA.9.223_1,6856,0
BRA.9.237_1,168468,0
BRA.9.241_1,6171,0
BRA.9.242_1,5821,0
BRA.13.49_1,17875,0
BRA.13.100_1,24841,0
BRA.13.102_1,6949,0
BRA.13.829_1,84378,0
